actors,année_de_diffusion,country,description,genre,language,mention,nbr_episodes,nbr_saisons,press_score,public_score,realisator,status,time,title,years
"Michael C. Hall,Jennifer Carpenter,David Zayas",2006 - 2013, U.S.A.,"Brillant expert scientifique du service médico-légal de la police de Miami, Dexter Morgan est spécialisé dans l'analyse de prélèvements sanguins. Mais voilà, Dexter cache un terrible secret : il est également tueur en série. Un serial killer pas comme les autres, avec sa propre vision de la justice.","Drame,Thriller",,,96,8,4.4,3.5,James Manos Jr,Terminée,52 min,Dexter,
"Arthur Pestel,Romi Paku,Audrey Pic",2009 - 2010, Japon,"Edward Elric et son frère Alphonse Elric sont de jeunes Alchimistes. En tentant de ramener leur mère à la vie, ils ont payé un lourd tribut, et ils tentent désormais de récupérer ce qu'ils ont perdu. Pour cela, Edward est devenu Alchimiste d'État : le Fullmetal Alchemist. Mais au cours de leurs recherches, bien des épreuves attendent les deux frères et des êtres étranges : les Homonculus, les poursuivent.","Action,Animation,Fantastique",,,68,5,4.4,5.0,,Terminée,25 min,Fullmetal Alchemist : Brotherhood,
"William H. Macy,Jeremy Allen White,Ethan Cutkosky",2011 - 2021, U.S.A.,"Pour les enfants Gallagher, la vie est tout sauf un long fleuve tranquille... Fiona, l'aînée, âgée de 20 ans, élève du mieux possible sa soeur et ses quatre frères. Leur mère, Monica, les a abandonnés pour refaire sa vie avec une femme. Quant à leur père, Frank, paumé, chômeur et alcoolique, il dilapide l'argent des allocations familiales...","Comédie,Drame",,,134,11,3.4,4.4,Paul Abbott,Terminée,45 min,Shameless (US),
"Bob Odenkirk,Jonathan Banks,Rhea Seehorn",2015 - 2022, U.S.A.,"Six ans avant de croiser le chemin de Walter White, Saul Goodman, connu sous le nom de Jimmy McGill, est un avocat qui peine à joindre les deux bouts, à Albuquerque, au Nouveau-Mexique. Pour boucler ses fins de mois, il n'aura d'autres choix que se livrer à quelques petites escroqueries. Chemin faisant, il va faire des rencontres qui vont se révéler déterminantes dans son parcours : Nacho Varga, ou encore Mike Ehrmantraut, un criminel spécialisé dans le ""nettoyage"", qui deviendra son futur homme de main.","Policier,Drame,Judiciaire",,,76,6,3.9,4.4,"Vince Gilligan,Peter Gould",Terminée,45 min,Better Call Saul,
"Mathieu Kassovitz,Mathieu Kassovitz,Sara Giraudeau",2015 - 2020, France,"Au sein de la DGSE (Direction Générale de la Sécurité Extérieure), un département appelé le Bureau des légendes (BDL) pilote à distance les agents les plus importants des services de renseignements français : les clandestins. En immersion dans des pays hostiles, leur mission consiste à repérer les personnes susceptibles d'être recrutées comme source de renseignements. Opérant dans l'ombre ""sous légende"", c'est-à-dire sous une identité fabriquée de toutes pièces, ils vivent durant de longues années dans une duplicité permanente.","Drame,Espionnage",,,50,5,3.3,4.4,Eric Rochant,Terminée,52 min,Le Bureau des Légendes,
"Jodie Foster,Kali Reis,Fiona Shaw",Depuis 2014, U.S.A.,"A chaque saison, son histoire. ","Policier,Drame,Thriller",,,36,5,3.8,4.4,Nic Pizzolatto,En cours,55 min,True Detective,
"Alex Høgh Andersen,Marco Ilsø,Jordan Patrick Smith",2013 - 2020," Canada, Irlande","Scandinavie, à la fin du 8ème siècle. Ragnar Lodbrok, un jeune guerrier viking, est avide d'aventures et de nouvelles conquêtes. Lassé des pillages sur les terres de l'Est, il se met en tête d'explorer l'Ouest par la mer. Malgré la réprobation de son chef, Haraldson, il se fie aux signes et à la volonté des dieux, en construisant une nouvelle génération de vaisseaux, plus légers et plus rapides...","Aventure,Drame,Historique",,,89,6,3.3,4.4,Michael Hirst,Terminée,52 min,Vikings,
"Asante Blackk,Caleel Harris,Ethan Herisse",2019, U.S.A.,L'histoire vraie de cinq adolescents de couleur accusés de viol alors qu'ils étaient en réalité innocents.,Drame,,,4,1,4.5,4.4,Ava DuVernay,Terminée,,Dans leur regard,
"Samuel Barnett,Samuel Barnett,Elijah Wood",2016 - 2017, U.S.A.,"Dirk, détective amateur et excentrique, et son assistant Todd enquêtent de manière incertaine sur une affaire particulièrement mystérieuse et périlleuse.","Comédie,Policier",,,18,2,4.2,4.0,Max Landis,Terminée,54 min,"Dirk Gently, détective holistique",
"Matt Smith (XI),Emma D'Arcy,Olivia Cooke",Depuis 2022, U.S.A.,"L'histoire de la famille Targaryen, près de 200 ans avant les événements de ""Game Of Thrones"". Alors que le Roi Viserys règne sur Westeros, la question de sa succession inquiète. Sans progéniture mâle, qui prendra sa suite ? Avec pas moins de 10 dragons adultes sous leur contrôle, les Targaryen dominent le Royaume des Sept Couronnes depuis fort longtemps. La seule puissance capable de les renverser est la Maison Targaryen elle-même. Les tensions, trahisons et jalousies qui secouent le clan en interne leur seront-elles fatales ?","Drame,Fantastique",,,18,3,3.5,4.2,"George R.R. Martin,Ryan J. Condal",En cours,60 min,Game of Thrones: House of the Dragon,
"Tom Hiddleston,Hugh Laurie,Olivia Colman",Depuis 2016," U.S.A., Grande-Bretagne","Le soldat britannique Jonathan Pine est devenu directeur de nuit dans un hôtel. Il croise la route de Sophie, une proche de Richard Onslow Roper, qui opère sur le marché noir des armes. Sophie fournit à l'ancien soldat des documents incriminant Roper. Lorsqu'elle est assassinée, Pine devient un agent des services secrets et s'infiltre chez Roper pour le faire arrêter et venger la mort de Sophie.","Drame,Espionnage,Thriller",,,6,3,3.5,4.2,David Farr,En cours,58 min,The Night Manager,
"Sigourney Weaver,Alycia Debnam-Carey,Asher Keddie",Depuis 2023," Australie, U.S.A.","Après un tragique et mystérieux incendie au cours duquel elle perd ses parents, la jeune Alice Hart, alors âgée de neuf ans, part vivre avec sa grand-mère, June, dans une ferme de fleurs. Elle y apprend que sa famille cache bien des secrets...",Drame,,,7,1,3.9,4.2,Sarah Lambert,En cours,60 min,Les Fleurs Sauvages,
"Melvil Poupaud,Michel Vuillermoz,Géraldine Pailhas",2021 - 2022," France, Belgique","1978. Didier Mathure, brillant ingénieur spatial, voit son rêve partir en fumée lorsque sa fusée explose au décollage. Alors qu'il pensait avoir touché le fond, il est muté à la tête d'un bureau d'enquête spécialisé sur les ovnis géré par une équipe qui donne effectivement l'impression de vivre sur une autre planète. Sa mission : trouver des explications scientifiques aux apparitions de soucoupes volantes qui défraient la chronique. Un véritable enfer pour ce cartésien invétéré qui n'a plus qu'une idée en tête : se tirer de là au plus vite. Mais un événement extraordinaire va bouleverser ses certitudes, et lui ouvrir les portes d'un monde où plus rien n'est impossible.","Comédie,Fantastique,Science Fiction",,,24,2,3.7,4.2,"Clémence Dargent,Martin Douaire",Annulée,30 min,OVNI(s),
"Killian Scott,Logan Marshall-Green,Sarah Jones",2017 - 2018, U.S.A.,"Pendant la Grande Dépression, un inconnu au passé violent se fait passer pour un pasteur et pousse les fermiers à se mettre en grève dans une campagne de l'Iowa.",Drame,,,10,1,4.2,4.0,Tony Tost,Annulée,42 min,Damnation,
"Rosa Salazar,Siddharth Dhananjay,Bob Odenkirk",Depuis 2019, U.S.A.,"Après un accident de la route qui a failli lui coûter la vie, Alma se découvre un nouveau rapport au temps et se sert de cette nouvelle capacité pour découvrir la vérité sur la mort de son père.","Animation,Drame,Fantastique",,,16,2,4.2,5.0,"Raphael Bob-Waksberg,Kate Purdy",En cours,30 min,Undone,
"Jenny Agutter,Judy Parfitt,Helen George",Depuis 2012, Grande-Bretagne,"East End, Londres, 1957. Sage-femme fraîchement diplômée, la jeune Jenny Lee s'apprête à entrer dans la vie active. Mais en lieu et place de l'hôpital où elle croit avoir été embauchée, c'est un couvent qui l'attend : Nonnatus House. Elle va y découvrir l'âpre réalité d'un quartier défavorisé, mais aussi faire la connaissance de femmes qui sont de véritables héroïnes.","Drame,Historique,Médical",,,128,15,4.2,4.5,Heidi Thomas,En cours,52 min,Call the Midwife : Les héroïnes de l'ombre,
"Jim Parsons,Johnny Galecki,Kaley Cuoco",2007 - 2019, U.S.A.,"Leonard et Sheldon pourraient vous dire tout ce que vous voudriez savoir à propos de la physique quantique. Mais ils seraient bien incapables de vous expliquer quoi que ce soit sur la vie ""réelle"", le quotidien ou les relations humaines... Mais tout va changer avec l'arrivée de la superbe Penny, leur voisine. Ce petit bout de femme, actrice à ses heures et serveuse pour le beurre, va devenir leur professeur de vie !",Comédie,,,279,12,2.2,4.2,"Bill Prady,Chuck Lorre",Terminée,22 min,The Big Bang Theory,
"Do-Hwan Woo,Sang-yi Lee,Kim Sae-Ron",Depuis 2023, Corée du Sud,Deux jeunes boxeurs font équipe avec un prêteur bienveillant pour faire tomber un usurier sans pitié qui s'attaque aux plus fauchés et désespérés.,"Action,Policier,Drame",,,8,1,4.2,5.0,Joo-hwan Kim,En cours,60 min,La Traque dans le sang,
"Toya Kikunosuke,Tomori Kusunoki,Sakata Shogo",Depuis 2022, Japon,"Endetté jusqu'au cou, Denji fusionne avec Pochita, son chien-tronçonneuse. Désormais doté d'une puissance fabuleuse, ce dernier est recruté par l'association Devil Hunter spécialisée dans la traque et l'élimination des démons !","Action,Animation,Epouvante-horreur",,,12,1,4.2,5.0,,En cours,24 min,Chainsaw Man,
"Kim Hye-Soo,Mu-Yeol Kim,Sung-min Lee",Depuis 2022, Corée du Sud,"La juge Eun-seok n'a que mépris pour les délinquants juvéniles avant de prendre conscience des difficultés sociales auxquelles ils sont confrontés, et de la responsabilité de la société dans leur dérive criminelle.","Drame,Judiciaire",,,10,1,4.2,5.0,Kim Min-seok,En cours,60 min,Juvenile Justice,
"Emma Roberts,Emma Roberts,Billie Lourd",Depuis 2011, U.S.A.,"A chaque saison, son histoire. ","Drame,Fantastique,Epouvante-horreur",,,132,12,3.8,4.2,"Ryan Murphy,Brad Falchuk",En cours,42 min,American Horror Story,
"Adrien Solis,Kensho Ono,Benjamin Pascal",2012 - 2015, Japon,"Les aventures de Tetsuyza Kuroko, un jeune garçon de 16 ans qui, sous son apparence chétive, cache un redoutable basketteur membre de la ""génération des miracles"" du collège Teiko. Tout juste arrivé au lycée de Seirin, il fait la connaissance de Taiga Kagami, jeune recrue fraîchement débarquée des États-unis. Ensemble, ils vont tout faire pour atteindre leur objectif : faire de Seirin la meilleure équipe du Japon.","Animation,Comédie,Évènement Sportif",,,78,3,4.2,4.0,Noboru Takagi,Terminée,26 min,Kuroko's Basket,
"Atsumi Tanezaki,Kana Ichinose,Nobuhiko Okamoto",Depuis 2023, Japon,"Le jeune héros Himmel et ses compagnons, l'elfe Frieren, le nain Eisen et le prêtre Heiter, rentrent victorieux de leur combat contre le roi des démons. Il est temps pour eux de retrouver une vie normale... Frieren ne semble guère touchée par la séparation. L'elfe a beau être experte en magie, il lui reste encore un long chemin à parcourir pour comprendre la race humaine... Son nouvel objectif : s'initier aux arcanes du cœur !","Aventure,Animation,Fantastique",,,28,1,4.2,4.0,,En cours,24 min,Frieren,
"Brian Cox,Brian Cox,Kieran Culkin",2018 - 2023, U.S.A.,"La riche et puissante famille Roy, composée du patriarche Logan et de ses quatres enfants, contrôle l'un des plus gros conglomérats de médias du monde. Alors que leur père vieillissant se retire peu à peu de la compagnie, Connor, Kendall Roman et Siobhan contemplent le futur de l'entreprise sans lui.",Drame,,,39,4,3.6,4.2,Jesse Armstrong,Terminée,60 min,Succession,
"Gillian Anderson,Jamie Dornan,John Lynch",2013 - 2016, Grande-Bretagne,"Lorsque les investigations de la police nord irlandaise sur une série de meurtres n'avancent pas, la détective et commissaire de police, Stella Gibson, est envoyée à Belfast pour suivre l'affaire de plus près. En parallèle de l'enquête, le meurtrier, un père de famille qui semble irréprochable du nom de Paul Spector, continue ses crimes au nez et à la barbe des forces de l'ordre...","Policier,Drame",,,17,3,4.2,5.0,Allan Cubitt,Terminée,60 min,The Fall,
"Manaka Iwami,Nobunaga Shimazaki,Yuma Uchida",2019 - 2021, Japon,"Tohru Honda, jeune orpheline de seize ans ayant perdu sa mère dans un tragique accident de voiture, vit seule dans une tente sur un terrain vague. C’était sans compter sur la générosité du propriétaire du terrain, Shigure Soma, qui lui propose de l’héberger le temps qu’elle retrouve un logement décent. Tohru se retrouve alors à vivre sous le même toit que la star du lycée, Yuki Soma, mais elle découvrira rapidement qu’un lourd secret pèse sur cette famille maudite.","Animation,Drame,Romance",,,63,3,4.2,5.0,,Terminée,24 min,Fruits Basket (2019),
"Forest Whitaker,Forest Whitaker,Nigél Thatch",Depuis 2019, U.S.A.,"A Harlem, dans les années 60 : la collision entre la vie criminelle de Bumpy Johnson et le combat pour les droits civiques. Un prequel au film ","Policier,Drame,Historique",,,40,4,3.5,4.2,"Chris Brancato,Paul Eckstein",En cours,60 min,Godfather of Harlem,
,Depuis 2019, Japon,"Alors que Taiju, simple lycéen, est sur le point d'avouer son amour à une jeune fille, une lumière brillante apparaît soudainement dans le ciel et pétrifie d'un coup toute l'humanité; Mais Taiju arrive à rester conscient. Au fur et à mesure que les années passent, motivé par l'idée d'avouer ses sentiments, il parvient à se libérer de cette pétrification et trouve un message gravé dans l'arbre qui le pousse à découvrir que son ami Senku s'est également échappé. Ce dernier est parvenu à maintenir sa conscience vivante en comptant combien de temps il a été pétrifié. Ainsi, Taiju apprend que la date actuelle est le 5 octobre 5738…","Aventure,Animation,Science Fiction",,,58,4,4.2,4.5,,En cours,24 min,Dr. STONE,
"Theo James,Kaya Scodelario,Daniel Ings",Depuis 2024," U.S.A., Grande-Bretagne","Eddie Horniman hérite soudainement du vaste domaine de son père, avant de découvrir qu'il fait partie d'un véritable empire du cannabis. Pour couronner le tout, de dangereuses figures du crime organisé en Grande-Bretagne veulent leur part du gâteau. Déterminé à extirper sa famille de leurs griffes, Eddie tente de prendre les gangsters à leur propre jeu. Mais à mesure qu'il s'enfonce dans la criminalité, il commence à y prendre goût. ","Action,Comédie,Policier",,,8,1,3.7,4.2,"Guy Ritchie,Matthew Read",En cours,60 min,The Gentlemen,
"Claudia Michelsen,Sonja Gerhardt,Maria Ehrich",2016, Allemagne,"Caterina Schöllack dirige une prestigieuse école de danse berlinoise. Sa plus grande préoccupation est de marier ses trois filles, Monika, Eva et Helga, à des gentlemen bien établis et de bonne famille, afin de conserver les traditions dans son école de danse “Galant”.","Drame,Historique",,,6,1,4.2,4.0,,Terminée,45 min,Berlin 56,
"Chad Michael Murray,Caitlin Carmichael,Rose McGowan",2013 - 2014, U.S.A.,"Du jour au lendemain, tout le monde peut être choisi et voir sa vie basculer. Si vous recevez une boîte à votre nom, laquelle renferme une arme et la photo de la personne que vous devez éliminer dans les trois jours à venir, vous êtes pris au piège. Il ne vous reste plus qu'à tuer... ou être tué !","Action,Drame,Thriller",,,18,3,4.2,5.0,"Ben Ketai,Ryan Lewis",Annulée,23 min,Chosen,
"Warren Brown,Alin Sumarwata,Daniel MacPherson",2010 - 2020," U.S.A., Grande-Bretagne",La section 20 du MI-6 déploie ses moyens pour combattre le terrorisme. Les agents de terrain les plus efficaces parcourent le globe pour éradiquer les menaces.,"Action,Espionnage",,,76,8,4.2,5.0,Andy Harries,Terminée,52 min,Strike Back,
"Paul Giamatti,Paul Giamatti,Corey Stoll",2016 - 2023, U.S.A.,"Dans le monde de la finance, Chuck Rhoades, un procureur fédéral de New York, affronte certains des plus riches gestionnaires de fonds d'investissement des Etats-Unis. Dans la ligne de mire, l'ambitieux et brillant Bobby ""Axe"" Axelrod, dont la puissance ne cesse de croître. Les deux hommes rivalisent d'ingéniosité pour manoeuvrer au mieux au grand dam de l'autre.",Drame,,,84,7,3.0,4.2,"Andrew Ross Sorkin,Brian Koppelman,David Levien",Terminée,42 min,Billions,
"Philippe Spiteri,Rémi Chapotot",Depuis 2010, France,"Sur un ton assurément décalé, Kaeloo suit les aventures de quatre bons copains légèrement déjantés : Kaeloo la grenouille, Moignon l'écureuil, Coin-Coin le canard et Monsieur Chat. Tous vivent au Pays Trop Mignon, un décor un peu trop propre pour être vrai, mais magique, où les accessoires nécessaires à la comédie surgissent à l'initiative des personnages. Cette joyeuse bande s'ennuie souvent et, pour passer le temps, invente toutes sortes de jeux rigolos. ""Et si on jouait à...1,2,3,Soleil...aux pirates ?... à se faire peur ?... à cache-cache ?"" Chaque épisode débute par cette stimulante proposition et l'affrontement de ces quatre personnalités insolites fait rebondir l'action et jaillir des répliques farfelues.",Animation,,,104,2,4.2,5.0,Rémi Chapotot,En cours,7 min,Kaeloo,
"Kristen Bell,Ted Danson,William Jackson Harper",2016 - 2020, U.S.A.,"Après avoir été percutée et tuée par un semi-remorque, Eleanor se réveille dans ce qui semble être la vie après la mort. Lorsque Michael, l'Architecte des lieux, lui apprend qu'elle est au ""Bon endroit"" compte tenu ses bonnes actions, elle réalise qu'elle a été confondue avec quelqu'un d'autre. L'arrivée d'Eleanor pourrait bien mettre en péril l'équilibre de ce monde où personne ne jure ou ne boit de l'alcool à outrance. La jeune femme va devoir travailler sur elle-même afin de devenir une meilleure personne si elle souhaite conserver sa place dans l'au-delà. Bien entendu, elle sera épaulée par de nouvelles connaissances à l'instar de Chidi, son ""âme soeur"" qui voit toujours le bon côté des gens, ses voisins un peu trop parfaits Tahani et Jianyu, et enfin Janet, véritable source de savoir ambulante...","Aventure,Comédie",,,51,4,3.6,4.2,Michael Schur,Terminée,22 min,The Good Place,
"Christine Baranski,Christine Baranski,John Slattery",2017 - 2022, U.S.A.,"Après un scandale qui a ruiné la réputation de la jeune avocate Maia Rindell et le compte en banque de sa marraine, l'éminente Diane Lockhart, un cabinet de Chicago majoritairement afro-américain les accueille. Diane y retrouve son ancienne collègue Lucca Quinn...","Drame,Judiciaire",,,60,6,3.9,4.2,"Phil Alden Robinson,Michelle King,Robert King (III)",Terminée,42 min,The Good Fight,
"Taron Egerton,Paul Walter Hauser,Sepideh Moafi",Depuis 2022, U.S.A.,L'histoire vraie de James Keene qui se voit offrir une chance de sortir de prison s'il parvient à obtenir les aveux d'un tueur en série présumé avec lequel il purge une peine de prison.,Thriller,,,6,1,3.7,4.2,Dennis Lehane,En cours,60 min,Black Bird,
"Sam Worthington,Cameron Britton,Paul Bettany",Depuis 2017, U.S.A.,Série d'anthologie axée chaque saison sur l’une des chasses à l’homme les plus importantes perpétrées sur le sol américain.,"Policier,Drame",,,18,2,4.2,5.0,"Andrew Sodroski,Jim Clemente,Tony Gittelson",En cours,60 min,Manhunt (2017),
"Olan Rogers,Fred Armisen,Ashly Burch",2018 - 2021, U.S.A.,"Gary Goodspeed, héros maladroit mais au grand cœur, est prêt à tout pour défendre ceux qui lui sont chers. Mais lorsque le terrible Lord Commander menace de détruire l'univers et tente de s'emparer de Mooncake, un petit alien vert qu'il a pris sous son aile, Gary et ses compagnons de bord devront être prêts à tous les sacrifices pour éviter la catastrophe.","Animation,Comédie,Science Fiction",,,36,3,4.2,5.0,Olan Rogers,Annulée,22 min,Final Space,
"Claire Foy,Christian Cooke,Katharina Schüttler",2011, Grande-Bretagne,"En route pour Israël, une jeune fille découvre l’incroyable histoire de son grand-père, soldat britannique dans la Palestine des années 1940.",Drame,,,4,1,4.2,5.0,Peter Kosminsky,Terminée,52 min,Le Serment,
"Bella Ramsey,Ameerah Falzon-Ojo,Oliver Nelson (II)",Depuis 2018," Grande-Bretagne, Canada","Hilda est prête à partir à l'aventure, à découvrir des créatures magiques et à se faire de nouveaux amis.","Aventure,Animation,Fantastique",,,34,3,4.2,4.5,"Stephanie Simpson,Luke Pearson",En cours,25 min,Hilda,
"Janet Varney,David Faustino,P.J. Byrne",2012 - 2014, U.S.A.,70 ans après les événements d’,"Action,Aventure,Animation,Comédie dramatique,Fantastique",,,52,4,4.2,4.5,"Michael Dante DiMartino,Bryan Konietzko",Terminée,24 min,La Légende de Korra,
,2017 - 2020, France,"Des enregistrements sonores, issus de la boîte noire d'un avion, de cassettes d'un magnétophone, de messages laissés sur un répondeur ou d'appels à Police secours, permettent de témoigner de tragiques événements survenus à différentes époques, mais tous connectés d'une manière ou d'une autre à une Apocalypse imminente.","Drame,Thriller",,,27,3,4.2,4.0,Timothée Hochet,Terminée,10 min,Calls,
" Zerocalcare,Valerio Mastandrea",Depuis 2021, Italie,"En pleine prise de conscience alors qu'il voyage avec ses amis, un dessinateur de Rome prend du recul sur sa vie et son histoire d'amour malheureuse.","Animation,Comédie",,,6,1,4.2,4.0,Zerocalcare,En cours,20 min,À découper suivant les pointillés,
"Tae-ri Kim,Joo-hyuk Nam,Ji-yeon Kim (II)",2022 - 1970, Corée du Sud,"À un moment où rêver ne semble plus permis, une ado passionnée d'escrime poursuit ses ambitions et rencontre un jeune homme travailleur qui cherche à reconstruire sa vie.","Drame,Romance",,,16,1,4.2,4.5,Young Kyun Kim,En cours,70 min,Twenty Five Twenty One,
"Raïka Hazanavicius,Khalil Gharbia,Théo Fernandez",Depuis 2022, France,"Léa déteste sa vie... Elle va en vivre 7. Quand elle tombe sur le corps d'Ismaël, un adolescent disparu trente ans plus tôt, Léa retourne en 1991 et se réveille chaque matin dans le corps d'une personne différente. Pourra-t-elle le sauver ?","Drame,Fantastique",,,7,1,4.2,4.0,Charlotte Sanson,En cours,45 min,Les 7 vies de Léa,
"Jamie Bell,Seth Numrich,Daniel Henshall",2014 - 2017, U.S.A.,"Automne 1776. Un fermier de Long Island nommé Abe Woodhull est recruté malgré lui par des amis d'enfance pour former avec eux un groupe d'espions, qui inversera le cours de l'histoire des États-Unis dans son combat pour l’indépendance...","Drame,Historique,Espionnage",,,40,4,4.2,3.5,Craig Silverstein,Terminée,42 min,Turn: Washington's Spies,
"Jonas Nay,Ulrich Noethen,Maria Schrader",2015 - 2020, Allemagne,"Jeune et inexpérimenté, le jeune espion Moritz Stamm est envoyé à l'Ouest par les services secrets est-allemands et se retrouve ainsi pris au piège entre idéologie et morale personnelle.","Drame,Espionnage,Thriller",,,8,1,4.2,3.5,"Anna Winger,Jörg Winger",Terminée,45 min,Deutschland 83,
"Rie Kugimiya,Toshiki Masuda",2022, Japon,"Un petit garçon emménage tout seul dans un immeuble délabré et sympathise avec son voisin, un auteur de manga fauché.","Animation,Comédie,Drame",,,10,1,4.2,4.5,Hiroshi Sato,En cours,28 min,Kotaro en solo,
"Madison Reyes,Charlie Gillespie,Owen Joyner",2020, U.S.A.,"Julie, collégienne, a délaissé sa passion pour la musique suite au décès de sa mère. Mais l'apparition soudaine des fantômes d’un groupe de rock des années 90 dans le studio de musique de sa mère réveille la flamme de Julie, qui recommence alors à écrire et à chanter des chansons. À mesure que leur amitié grandit, les garçons réussissent à la convaincre de créer un groupe ensemble : Julie and the Phantoms. ","Comédie,Famille,Musical",,,9,1,4.2,5.0,Kenny Ortega,Annulée,35 min,Julie and the Phantoms,
"Anton Yelchin,Ron Perlman,Kelsey Grammer",2016 - 2018, U.S.A.,"Sur le chemin de l'école, Jimmy Dulac, un adolescent de quinze ans, trébuche par inadvertance sur une amulette magique. Il découvre alors une extraordinaire civilisation secrète de puissants trolls vivant sous sa petite ville d'Arcadia. Jimmy se retrouve soudainement destiné à être le protecteur du monde des trolls et des humains.","Aventure,Animation,Fantastique",,,52,3,4.2,4.0,Guillermo del Toro,Terminée,23 min,Chasseurs de Trolls : les contes d'Arcadia,
