actors,année_de_diffusion,country,description,genre,language,mention,nbr_episodes,nbr_saisons,press_score,public_score,realisator,status,time,title,years
"Marc Wilhelm,Nobunaga Shimazaki,Sandra Vandroux",2014 - 2015, Japon,"Un jour, de mystérieuses sphères, abritant d'étranges parasites, se répandent sur Terre. Rapidement, les entités prennent possession de certains habitants. Nul ne sait d'où elles viennent, mais ce qui semble certain, c'est qu'elles sont là pour débarrasser le monde de l'espèce humaine. Shinichi, jeune lycéen, est un « hôte » dont le cerveau a miraculeusement été épargné : et pour cause, Migi, son parasite, a pris possession de son bras droit ! Ce cas exceptionnel va déboucher sur une singulière cohabitation. Alors que Shinichi se découvre doté d'incroyables facultés physiques, il prend aussi conscience de la menace qui plane sur ses proches... et sur l'humanité tout entière.","Animation,Epouvante-horreur,Science Fiction",,,24,1,4.2,5.0,,Terminée,24 min,Parasyte,
"Lee Pace,Scoot McNairy,Mackenzie Davis",2014 - 2017, U.S.A.,"Au cœur des années 80, au Texas, un visionnaire, un ingénieur et un prodige spécialisés dans la micro-informatique confrontent leurs inventions et innovations aux géants de l'époque. Leurs relations sont alors mises à rude épreuve, entre convoitises, jalousies et crises d'égo...",Drame,,,40,4,3.2,4.2,"Christopher Cantwell,Christopher C. Rogers",Terminée,42 min,Halt and Catch Fire,
"Tom Hardy,Leo Bill,Oona Chaplin",2017, Grande-Bretagne,"Considéré comme mort depuis des années, James Keziah Delaney refait surface à Londres en 1814, après 10 ans passés en Afrique. De retour en possession de diamants acquis illégalement et bien décidé à venger la mort de son père, il va refuser de vendre ce qu'il reste de l'héritage familial à la Compagnie britannique des Indes orientales et se mettre en tête de bâtir son propre empire de négoce et de transport. Mais James, qui va rapidement comprendre qu'il a de nombreux ennemis, va devoir naviguer bien des eaux troubles pour rester en vie et parvenir à ses fins.","Drame,Historique,Thriller",,,8,2,3.3,4.2,"Steven Knight,Chips Hardy,Tom Hardy",Annulée,60 min,Taboo,
"Idris Elba,Dermot Crowley,Michael Smiley",2010 - 2019, Grande-Bretagne,"Brillant inspecteur à la Criminelle, Luther a parfois du mal à contenir ses propres démons intérieurs...","Drame,Judiciaire",,,20,5,4.2,5.0,Neil Cross,Terminée,52 min,Luther,
"Gabriel Macht,Rick Hoffman,Sarah Rafferty",2011 - 2019, U.S.A.,"Avocat très ambitieux d'une grosse firme de Manhattan, Harvey Specter a besoin de quelqu'un pour l'épauler. Son choix se porte sur Mike Ross, un jeune homme très brillant mais sans diplôme, doté d'un talent certain et d'une mémoire photographique très précieuse. Ensemble, ils forment une équipe gagnante, prête à relever tous les défis. Mike devra cependant user de toutes les ruses pour maintenir sa place sans que personne ne découvre qu'il n'a jamais passé l'examen du barreau.","Comédie,Drame,Judiciaire",,,134,9,2.8,4.3,Aaron Korsh,Terminée,42 min,Suits : avocats sur mesure,
"Ayumu Murase,Kaito Ishikawa,Satoshi Hino",Depuis 2014, Japon,"Shôyô Hinata, surnommé Shô, aime plus que tout jouer au volley-ball et ce, malgré sa petite taille. Malheureusement, suite à une sévère défaite, son club de collège a été dissous, tous les membres étant partis. Mais Shô est bien décidé à jouer de nouveau et choisit son futur lycée en fonction de son ambition. Il intègre donc le lycée Karasuno, où a joué son idole, le Petit Géant, tout en espérant faire aussi bien que lui.","Action,Animation,Comédie",,,85,4,4.3,5.0,,En cours,23 min,Haikyū !!,
"Takuya Eguchi,Saori Hayami,Atsumi Tanezaki",Depuis 2022, Japon,"Twilight, le plus grand espion du monde, doit pour sa nouvelle mission créer une famille de toutes pièces afin de pouvoir s'introduire dans la plus prestigieuse école de l'aristocratie. Totalement dépourvu d'expérience familiale, il va adopter une petite fille en ignorant qu'elle est télépathe, et s'associer à une jeune femme timide, sans se douter qu'elle est une redoutable tueuse à gages. Ce trio atypique va devoir composer pour passer inaperçu, tout en découvrant les vraies valeurs d'une famille unie et aimante.","Action,Animation,Comédie",,,37,3,4.3,3.5,,En cours,24 min,SPY x FAMILY,
"Ashley Johnson,Laura Bailey,Taliesin Jaffe",Depuis 2022, U.S.A.,Un groupe de jeunes aventuriers partent dans une quête afin de sauver leur royaume de monstres terrifiants et de la magie noire...,"Aventure,Animation,Fantastique",,,36,3,4.3,5.0,Matthew Mercer,En cours,45 min,La légende de Vox Machina,
"Claire Danes,Mandy Patinkin,Maury Sterling",2011 - 2020, U.S.A.,"Huit ans après la disparition de deux soldats américains lors de l'invasion de Bagdad, l'un d'entre eux réapparaît, seul survivant alors que tout le monde le pensait mort depuis longtemps. Rapatrié aux États-Unis, il est accueilli chaleureusement par sa famille, ses amis et le gouvernement. Seule contre tous, l'agent de la CIA Carrie Mathison, qui a passé plusieurs années en Afghanistan, est persuadée que le héros est en réalité devenu un espion à la solde de l'ennemi, préparant la prochaine attaque terroriste sur le sol américain. Sans réelle preuve et montrée du doigt suite à un incident diplomatique qu'elle a déclenché quelques mois plus tôt, Carrie va devoir se battre pour prouver que ce qu'elle avance est la réalité... ","Policier,Drame,Espionnage,Thriller",,,96,8,4.6,4.3,"Gideon Raff,Alex Gansa,Howard Gordon",Terminée,42 min,Homeland,
"Miles Teller,Matthew Goode,Dan Fogler",2022, U.S.A.,"Retour sur la genèse du film oscarisé de Francis Ford Coppola """,Drame,,,10,1,2.6,4.3,"Michael Tolkin,Laurence Bennett",Terminée,60 min,The Offer,
